SetName,Level,Attack,Defense,HP,CritChance,CritDamage,AttackSpeed,Dexterity,Luck
Aprendiz,I,600,400,2500,2,60,50,100,5
Aprendiz,II,900,600,3750,3,75,60,125,6
Aprendiz,III,1200,800,5000,4,90,70,150,7
Arcano,I,1800,1200,7500,5,105,80,200,9
Arcano,II,2700,1800,11250,6,120,90,250,11
Arcano,III,3600,2400,15000,7,135,100,300,13
Cazador,I,5400,3600,22500,8,150,110,400,15
Cazador,II,8100,5400,33750,9,165,120,500,17
Cazador,III,10800,7200,45000,10,180,130,600,19
Conquistador,I,16200,10800,67500,11,195,140,800,21
Conquistador,II,24300,16200,101250,12,210,150,1000,23
Conquistador,III,32400,21600,135000,13,225,160,1200,25
Heroe,I,48600,32400,202500,14,240,170,1600,27
Heroe,II,72900,48600,303750,15,255,180,2000,29
Heroe,III,97200,64800,405000,16,270,190,2400,31
Fantasma,I,145800,97200,607500,17,285,200,3200,33
Fantasma,II,218700,145800,911250,18,300,210,4000,35
Fantasma,III,291600,194400,1215000,19,315,220,4800,37
Titan,I,437400,291600,1822500,20,330,230,6400,39
Titan,II,656100,437400,2733750,21,345,240,8000,41
Titan,III,874800,583200,3645000,22,360,250,9600,43
Serafin,I,1312200,874800,5467500,23,375,260,12800,45
Serafin,II,1968300,1312200,8201250,24,390,270,16000,47
Serafin,III,2624400,1749600,10935000,25,405,280,19200,49
Abismo,I,3936600,2624400,16402500,26,420,290,25600,51
Abismo,II,5904900,3936600,24603750,27,435,300,32000,53
Abismo,III,7873200,5248800,32805000,28,450,310,38400,55
Apocalipsis,I,11809800,7873200,49207500,29,465,320,51200,57
Apocalipsis,II,17714700,11809800,73811250,30,480,330,64000,59
Apocalipsis,III,23619600,15746400,98415000,31,495,340,76800,61
