"File","ItemName","Description"
"Abismo Anillo I.asset","Anillo de Infernum Limbus","Un anillo que canaliza el poder corruptor del abismo."
"Abismo Anillo II.asset","Anillo de Infernum Inferus","La oscuridad fluye a trav\xE9s de este anillo como un veneno letal."
"Abismo Anillo III.asset","Anillo de Infernum Abyssus","El anillo del abismo, que corrompe todo lo que toca con su poder demoniaco."
"Abismo Arma I.asset","Arma de Infernum Limbus","Los demonios mas antiguos temen el poder que emana de este equipo"
"Abismo Arma II.asset","Arma de Infernum Inferus","Las llamas del infierno arden eternamente dentro de cada pieza de"
"Abismo Arma III.asset","Arma de Infernum Abyssus","Creado en el abismo eterno donde la luz jamas ha tocado la oscuridad."
"Abismo Armadura I.asset","Armadura de Infernum Limbus","Las llamas del infierno arden eternamente dentro de cada pieza de"
"Abismo Armadura II.asset","Armadura de Infernum Inferus","Las llamas del infierno arden eternamente dentro de cada pieza de"
"Abismo Armadura III.asset","Armadura de Infernum Abyssus","El precio de este poder es alto pero la recompensa es absoluta."
"Abismo Botas I.asset","Botas de Infernum Limbus","Creado en el abismo eterno donde la luz jamas ha tocado la oscuridad."
"Abismo Botas II.asset","Botas de Infernum Inferus","Quien lo porte sentira el susurro de mil demonios guiando cada golpe."
"Abismo Botas III.asset","Botas de Infernum Abyssus","El precio de este poder es alto pero la recompensa es absoluta."
"Abismo Casco I.asset","Casco de Infernum Limbus","Quien lo porte sentira el susurro de mil demonios guiando cada golpe."
"Abismo Casco II.asset","Casco de Infernum Inferus","El precio de este poder es alto pero la recompensa es absoluta."
"Abismo Casco III.asset","Casco de Infernum Abyssus","Forjado en las profundidades del infierno con las almas de los condenados."
"Abismo Cinturon I.asset","CinturÃ³n de Infernum Limbus","Quien lo porte sentira el susurro de mil demonios guiando cada golpe."
"Abismo Cinturon II.asset","CinturÃ³n de Infernum Inferus","Creado en el abismo eterno donde la luz jamas ha tocado la oscuridad."
