"enemyName","description","hp","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza","rewardCoins","experienceReward","requiredLevel","level","asset_path","guid"
,,,,,,,,,,,,,,"Assets\Scripts\EnemyDatabase.cs","84bb48c364b45cc42822dd93b8a572fc"
"Ara\xF1a Venenosa","""Una ara\xF1a gigante con veneno letal. Sus mordeduras pueden ser","7200","880","720","100","5","120","10","200","12","25","1","2","Assets\Enemies\Araña_Venenosa.asset","8c8336009fdf500468d2943b10d0f7d4"
"Bandido","Un bandido humano armado. Conoce algunas t\xE9cnicas de combate b\xE1sicas.","12000","1300","1000","100","6","125","12","270","30","50","1","2","Assets\Enemies\Bandido.asset","f008da55260fe3d45b6a82654fa304f7"
"Boss Final","""El enemigo definitivo. Combina todas las habilidades y es el m\xE1s","21000","1900","1300","100","7","130","15","340","75","150","5","6","Assets\Enemies\Boss_Final.asset","ead07de84d5cf074c87f3246572b754b"
"Caballero Oscuro","""Un caballero ca\xEDdo que sirve a las fuerzas oscuras. Combina fuerza","33000","2600","1700","105","8","135","18","430","140","400","3","4","Assets\Enemies\Caballero_Oscuro.asset","4ad49170859cdf541a7ee422ab8fba6e"
"Demonio Menor","""Un demonio del inframundo. Sus ataques est\xE1n imbuidos de energ\xEDa","48000","3900","2500","105","9","140","20","520","280","1000","3","4","Assets\Enemies\Demonio_Menor.asset","c608bb8ef90e45449a07c5f6b68082dc"
"Drag\xF3n Anciano","""Un drag\xF3n milenario con poder inmenso. Uno de los enemigos m\xE1s","66000","5200","3200","110","10","150","25","620","450","1500","5","6","Assets\Enemies\Dragon_Anciano.asset","36fbaa4f80268574888dbbd7b180aefb"
"Drag\xF3n Peque\xF1o","""Un drag\xF3n joven pero ya formidable. Sus escamas protegen y sus","90000","7000","4500","110","12","160","28","750","600","3000","3","4","Assets\Enemies\Dragon_Pequeño.asset","88f12929ee262fb43922d42452bd815c"
"Esqueleto Novato","Un esqueleto reci\xE9n reanimado. Sus huesos crujen con cada movimiento.","120000","9200","5800","115","14","170","30","900","750","8000","0","1","Assets\Enemies\Esqueleto_Novato.asset","9667353e9a8a50a4dbb4a634d60feabe"
"Gigante de Hielo","Un gigante ancestral del norte. Su cuerpo helado es casi indestructible.","161000","12000","7800","115","16","185","35","1050","1000","10000","4","5","Assets\Enemies\Gigante_de_Hielo.asset","dbb6768045886de4ea9e2d4236124fca"
"Goblin D\xE9bil","""Un goblin peque\xF1o y d\xE9bil, f\xE1cil de derrotar. Perfecto para","210000","15500","10000","120","18","200","38","1200","1200","12000","0","1","Assets\Enemies\Goblin_Debil.asset","5fc3d78c7741f1e4b8aba1b8cc77e915"
"Guerrero Esqueleto","""Un esqueleto con armadura y experiencia en combate. M\xE1s peligroso","330000","27500","15000","125","20","220","42","1500","1500","6000","2","3","Assets\Enemies\Guerrero_Esqueleto.asset","c74d028056cbdfc4681279d511ef0b4f"
"Lich","Un hechicero inmortal que domina la magia oscura. Extremadamente peligroso.","570000","50000","27000","130","22","250","48","1900","1800","20000","4","5","Assets\Enemies\Lich.asset","4c91df5505516fd438666233f84a05ca"
"Lobo Peque\xF1o","Un lobo joven pero \xE1gil. Ataca con rapidez pero tiene poca resistencia.","840000","78000","42000","135","24","280","52","2300","2000","25000","0","1","Assets\Enemies\Lobo_Pequeño.asset","d5a09e735a1d2f547b79f727b2f91553"
"Ogro","Un ogro masivo con fuerza bruta. Sus golpes pueden ser devastadores.","1200000","112000","60000","140","26","320","55","2800","2400","50000","2","3","Assets\Enemies\Ogro.asset","e819a507bca19b54b9314afa098a7a65"
"Orco Guerrero","""Un orco entrenado en combate. M\xE1s fuerte que los goblins pero","1650000","154000","84000","145","28","360","60","3400","2600","100000","1","2","Assets\Enemies\Orco_Guerrero.asset","6a18592b0ba53854aa6192e06e82a41d"
"Se\xF1or de las Sombras","El gobernante de las tinieblas. Su poder oscuro es casi ilimitado.","2100000","210000","115000","150","30","400","65","4100","3800","180000","5","6","Assets\Enemies\Señor_de_las_Sombras.asset","5d4a17f9347c07a459b700e6a631ca50"
"Troll","""Un troll grande y resistente. Su piel gruesa lo hace dif\xEDcil de","2400000","255000","138000","155","32","440","70","4600","9000","200000","2","3","Assets\Enemies\Troll.asset","b7df9bcb722264d41b75f5277273cadd"
"Vampiro","""Un vampiro anciano con siglos de experiencia. R\xE1pido, fuerte y","2700000","302000","170000","160","34","480","75","5100","19000","280000","4","5","Assets\Enemies\Vampiro.asset","737172a56d7d97c44b75ed2c1d3dc32b"
"Vampiro Supremo","Un vampiro que vive en Roma pero no paga impuestos y bebe mucha sangre.","3000000","385000","300000","170","38","550","80","6000","19000","280000","4","5","Assets\Enemies\Vampiro_Desdentado.asset","3373f25a5b6b1ad4cbf80f5df3c4d5a5"
"Vampiro Supremo","Un vampiro que vive en Roma pero no paga impuestos y bebe mucha sangre.","2850000","332000","186000","165","35","500","78","5400","19000","280000","4","5","Assets\Enemies\Vampiro_Supremo.asset","b3e6ee713b4991047bc385d1a3099bfe"
