"itemName","itemType","itemTypeIndex","rareza","price","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza","nivel","price_scaled","hp_scaled","mana_scaled","ataque_scaled","defensa_scaled","velocidadAtaque_scaled","ataqueCritico_scaled","danoCritico_scaled","suerte_scaled","destreza_scaled","nivel_scaled","asset_path","guid"
,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","Assets\Scripts\ItemDatabase.cs","1a831b523537f6c46a4e5a6ce9d6365c"
"Anillo de Augur Omen","Anillo","8","Epico","500","0","80","270","0","0","0","21","3","30","1","59","0","92","1","0","0","0","33","59","2","1","Assets\Items\Arcano Anillo I.asset","3ec59f0d0da0e3c408eacfe40e4581ae"
"Anillo de Augur Oraculum","Anillo","8","Epico","1000","0","224","540","0","0","1","27","4","45","1","135","0","295","1","0","0","1","55","88","2","1","Assets\Items\Arcano Anillo III.asset","a1c6fa2ac497e0b4886f5f282d1e2d99"
"Anillo de Augur Ritus","Anillo","8","Epico","500","0","152","405","0","0","1","24","3","38","1","59","0","194","1","0","0","1","44","59","2","1","Assets\Items\Arcano Anillo II.asset","a82e7ee91c5978b4ea6d6909fb6c5a25"
"Anillo de Colossus Colossus","Anillo","8","Legendario","2400","0","218","131220","0","0","2","72","13","1440","1","347","0","286","19","0","0","45","216","348","51","1","Assets\Items\Titan Anillo III.asset","03b9266a4b2be3a439ab6e03121af57e"
"Anillo de Colossus Moles","Anillo","8","Legendario","1200","0","78","65610","0","0","2","66","12","960","1","165","0","90","10","0","0","45","194","319","34","1","Assets\Items\Titan Anillo I.asset","f2b989f9fda9c074293b985cd3fc0c84"
"Anillo de Colossus Titanus","Anillo","8","Legendario","1200","0","148","98415","0","0","2","69","12","1200","1","165","0","188","15","0","0","45","205","319","42","1","Assets\Items\Titan Anillo II.asset","c64d484a4cb83244793b767610f3854e"
"Anillo de Infernum Abyssus","Anillo","8","Demoniaco","1600","0","158","11809","0","0","3","90","16","5760","1","226","0","202","3","0","0","90","280","435","200","1","Assets\Items\Abismo Anillo III.asset","f56b13e5379021e4aaf4e22959fdd887"
"Anillo de Infernum Inferus","Anillo","8","Demoniaco","800","0","108","8857","0","0","3","87","16","4800","1","104","0","132","2","0","0","90","269","435","167","1","Assets\Items\Abismo Anillo II.asset","c10b23abf39b5ed498a17e1032a2bee3"
"Anillo de Infernum Limbus","Anillo","8","Demoniaco","800","0","58","5904","0","0","3","84","15","3840","1","104","0","61","2","0","0","90","258","406","134","1","Assets\Items\Abismo Anillo I.asset","fef93f1532f96dc4c84a5ffc044a6f9e"
"Anillo de Legionarius Centuria","Anillo","8","Raro","250","0","48","3645","0","0","1","42","7","150","1","21","0","47","2","0","0","1","108","174","6","1","Assets\Items\Conquistador Anillo II.asset","0d35f782ac116b949b1588e3812abe12"
"Anillo de Legionarius Cohors","Anillo","8","Raro","250","0","28","2430","0","0","1","39","6","120","1","21","0","19","1","0","0","1","98","146","5","1","Assets\Items\Conquistador Anillo I.asset","60fa624083f56c340abf4dfd08ee2a88"
"Anillo de Legionarius Legio","Anillo","8","Raro","500","0","68","4860","0","0","1","45","8","180","1","59","0","76","2","0","0","1","119","203","7","1","Assets\Items\Conquistador Anillo III.asset","8a81488e738367a45b5eba28b8bc71b9"
"Anillo de Pontifex Divinus","Anillo","8","Legendario","1500","0","328","295245","0","0","2","78","14","2400","1","211","0","441","43","0","0","45","237","377","84","1","Assets\Items\Serafin Anillo II.asset","ea858948161bc8f42a6e3706aa91a2c2"
"Anillo de Pontifex Sacrum","Anillo","8","Legendario","1500","0","168","196830","0","0","2","75","14","1920","1","211","0","216","29","0","0","45","226","377","67","1","Assets\Items\Serafin Anillo I.asset","65fd98230355f15498824303aee67ed7"
"Anillo de Pontifex Sanctus","Anillo","8","Legendario","3000","0","488","393660","0","0","2","81","15","2880","1","438","0","666","56","0","0","45","248","406","100","1","Assets\Items\Serafin Anillo III.asset","1d622c19f9803394b9b333544205aab8"
"Anillo de Roma Gloria","Anillo","8","Epico","800","0","98","14580","0","0","2","54","9","360","1","104","0","118","3","0","0","45","151","232","13","1","Assets\Items\Heroe Anillo III.asset","c18ccc60ed583fc439a293fd45892b75"
"Anillo de Roma Honor","Anillo","8","Epico","400","0","68","10935","0","0","2","51","9","300","1","44","0","76","3","0","0","45","140","232","11","1","Assets\Items\Heroe Anillo II.asset","75540ab90bf733f4a9655efec1471438"
"Anillo de Roma Virtus","Anillo","8","Epico","400","0","38","7290","0","0","1","48","8","240","1","44","0","33","2","0","0","1","130","203","9","1","Assets\Items\Heroe Anillo I.asset","5b3a8a876c1ecc84bb90a1837450dc84"
"Anillo de Speculator Occultus","Anillo","8","Epico","1100","0","128","43740","0","0","2","63","11","720","1","150","0","160","7","0","0","45","183","290","26","1","Assets\Items\Fantasma Anillo III.asset","f4c15d5849af7404c9eb5de974d1bb31"
"Anillo de Speculator Silentium","Anillo","8","Epico","550","0","88","32805","0","0","2","60","10","600","1","66","0","104","6","0","0","45","173","261","21","1","Assets\Items\Fantasma Anillo II.asset","bc1516efff75cb7419b79300974ece5f"
"Anillo de Speculator Umbra","Anillo","8","Epico","550","0","48","21870","0","0","2","57","10","480","1","66","0","47","4","0","0","45","162","261","17","1","Assets\Items\Fantasma Anillo I.asset","8089da4e0e4472a4d9b6d356fa7d8b32"
"Anillo de Ultima Roma Aeternitas","Anillo","8","Demoniaco","1800","0","176","3542940","0","0","3","99","18","11520","1","256","0","227","500","0","0","90","312","493","400","1","Assets\Items\Apocalipsis Anillo III.asset","7a624889c3b71ab4cade0283f707038c"
"Anillo de Ultima Roma Cataclysmus","Anillo","8","Demoniaco","900","0","120","2657205","0","0","3","96","18","9600","1","119","0","149","375","0","0","90","301","493","333","1","Assets\Items\Apocalipsis Anillo II.asset","f904cd6ef274f1c4bb3465d17a9858b1"
"Anillo de Ultima Roma Exitium","Anillo","8","Demoniaco","900","0","64","1771470","0","0","3","93","17","7680","1","119","0","70","250","0","0","90","291","464","267","1","Assets\Items\Apocalipsis Anillo I.asset","7028b8b27cca8da4ba08126901e1e7d0"
"Arma de Augur Omen","Arma","3","Magico","390","0","0","720","0","16","2","42","0","0","1","42","0","0","1","0","26","45","108","0","0","1","Assets\Items\Arcano Arma I.asset","489bf1a2da8b42d3b33be42684773a61"
"Arma de Augur Oraculum","Arma","3","Magico","546","0","0","1440","0","20","4","54","0","0","1","66","0","0","1","0","43","134","151","0","0","1","Assets\Items\Arcano Arma III.asset","c768f4906d2c41698f022c4433be0f91"
"Arma de Augur Ritus","Arma","3","Magico","468","0","0","1080","0","18","3","48","0","0","1","54","0","0","1","0","34","90","130","0","0","1","Assets\Items\Arcano Arma II.asset","96d4886df573455cae6f96a93bea3d6f"
"Arma de Colossus Colossus","Arma","3","Legendario","1050","0","0","349920","0","50","11","144","0","0","1","142","0","0","50","0","167","444","473","0","0","1","Assets\Items\Titan Arma III.asset","f59ac096c925430793fb755816b8077e"
"Arma de Colossus Moles","Arma","3","Legendario","750","0","0","174960","0","46","10","132","0","0","1","97","0","0","26","0","151","400","430","0","0","1","Assets\Items\Titan Arma I.asset","41afdf64f8d2499db70127762fba2cb0"
"Arma de Colossus Titanus","Arma","3","Legendario","900","0","0","262440","0","48","10","138","0","0","1","119","0","0","38","0","159","400","451","0","0","1","Assets\Items\Titan Arma II.asset","aa6ce48e75bc4d5bbd380330adba58ee"
"Arma de Explorator Peregrinus","Arma","3","Raro","270","0","0","2160","0","22","4","60","0","0","1","24","0","0","1","0","51","134","173","0","0","1","Assets\Items\Cazador Arma I.asset","5a547b5e67bb43c6ad452187cd99925a"
"Arma de Explorator Praedator","Arma","3","Raro","378","0","0","4320","0","26","5","72","0","0","1","40","0","0","2","0","68","178","216","0","0","1","Assets\Items\Cazador Arma III.asset","6f29f25626a246dca63a264d6570b9da"
"Arma de Explorator Venator","Arma","3","Raro","324","0","0","3240","0","24","4","66","0","0","1","32","0","0","1","0","59","134","194","0","0","1","Assets\Items\Cazador Arma II.asset","cb9306b5cf5848dbb537b7e8660a9a4a"
"Arma de Infernum Abyssus","Arma","3","Demoniaco","2856","0","0","3149","0","62","14","180","0","0","1","416","0","0","1","0","217","577","602","0","0","1","Assets\Items\Abismo Arma III.asset","688c9e3491eb4806b9915ea97b504acd"
"Arma de Infernum Inferus","Arma","3","Demoniaco","2448","0","0","2361","0","60","14","174","0","0","1","354","0","0","1","0","209","577","580","0","0","1","Assets\Items\Abismo Arma II.asset","ff2d595a9a1e478fa389eb21e5411321"
"Arma de Infernum Limbus","Arma","3","Demoniaco","2040","0","0","1574","0","58","13","168","0","0","1","293","0","0","1","0","200","533","559","0","0","1","Assets\Items\Abismo Arma I.asset","999f31558edb4c1ea0ca43a341f997e8"
"Arma de Legionarius Centuria","Arma","3","Excelente","756","0","0","9720","0","30","6","84","0","0","1","98","0","0","2","0","84","223","258","0","0","1","Assets\Items\Conquistador Arma II.asset","104e2c28145c458a8576e34ab49ae01e"
"Arma de Legionarius Cohors","Arma","3","Excelente","630","0","0","6480","0","28","6","78","0","0","1","78","0","0","2","0","76","223","237","0","0","1","Assets\Items\Conquistador Arma I.asset","37599bff5e5c485683b7c79b643f24e1"
"Arma de Legionarius Legio","Arma","3","Excelente","882","0","0","12960","0","32","6","90","0","0","1","117","0","0","3","0","92","223","280","0","0","1","Assets\Items\Conquistador Arma III.asset","7614b54ef91b470cb281b69e03141df3"
"Arma de Pontifex Divinus","Arma","3","Celestial","1944","0","0","787320","0","54","12","156","0","0","1","278","0","0","112","0","184","489","516","0","0","1","Assets\Items\Serafin Arma II.asset","49669e32d95447e481cc7c9f35eb9582"
"Arma de Pontifex Sacrum","Arma","3","Celestial","1620","0","0","524880","0","52","12","150","0","0","1","229","0","0","75","0","176","489","494","0","0","1","Assets\Items\Serafin Arma I.asset","f70e36b2530445118c10cb274e75ce48"
"Arma de Pontifex Sanctus","Arma","3","Celestial","2268","0","0","1049760","0","56","12","162","0","0","1","327","0","0","149","0","192","489","537","0","0","1","Assets\Items\Serafin Arma III.asset","be836754758a48c79904392b634fbf09"
"Arma de Roma Gloria","Arma","3","Epico","1218","0","0","38880","0","38","8","108","0","0","1","168","0","0","6","0","117","311","344","0","0","1","Assets\Items\Heroe Arma III.asset","ea18afac5d454e738645bd878ec388b6"
