"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","1","0","202","3","0","0","90","280","435","200"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","5","54","256","138","162","108","198","442","489","281"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","10","189","472","354","405","243","441","604","705","497"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","25","864","1147","1002","999","783","1035","1279","1380","1010"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","50","1890","2362","2190","2106","1890","2007","2197","2298","2144"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","100","3780","4495","3810","3996","3834","4329","4492","4566","4385"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","150","5778","6196","5538","6507","5670","6381","6544","6591","6545"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","200","8073","8140","7563","8478","8073","8217","8812","8940","8570"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","250","10044","10570","9750","11070","10017","10215","10702","10776","10379"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","500","19548","21505","20145","20574","20655","20583","20368","20793","20612"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","600","23571","25744","23844","25137","25110","24201","24202","25194","24338"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","750","27405","28282","27732","27918","27918","27765","27847","28353","27848"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","900","28404","29632","29082","29268","29268","29115","29197","29703","29198"
"Anillo de Infernum Abyssus","Abismo Anillo III","8","Abismo (Infernum)","abyssus","27","999","29079","30523","29973","30159","30159","30006","30088","30594","30089"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","1","0","132","2","0","0","90","269","435","167"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","5","52","184","132","156","104","194","425","487","245"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","10","182","392","340","390","234","428","581","695","453"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","25","832","1042","964","962","754","1000","1231","1345","947"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","50","1820","2212","2108","2028","1820","1936","2115","2229","2039"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","100","3640","4266","3668","3848","3692","4172","4325","4413","4197"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","150","5564","5904","5332","6266","5460","6148","6301","6363","6277"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","200","7774","7776","7282","8164","7774","7916","8485","8625","8227"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","250","9672","10116","9388","10660","9646","9840","10305","10393","9969"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","500","18824","20646","19398","19812","19890","19824","19613","20039","19823"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","600","22698","24728","22960","24206","24180","23308","23305","24277","23411"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","750","26390","27172","26704","26884","26884","26740","26815","27319","26791"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","900","27352","28472","28004","28184","28184","28040","28115","28619","28091"
"Anillo de Infernum Inferus","Abismo Anillo II","8","Abismo (Infernum)","inferus","26","999","28002","29330","28862","29042","29042","28898","28973","29477","28949"
"Anillo de Infernum Limbus","Abismo Anillo I","8","Abismo (Infernum)","limbus","25","1","0","61","2","0","0","90","258","406","134"
