"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","1","0","0","1","0","18","45","87","0","0"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","5","6","6","16","18","30","57","105","6","9"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","10","21","30","40","45","45","84","123","30","33"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","25","96","105","112","111","105","150","198","105","90"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","50","210","240","244","234","228","258","300","207","216"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","100","420","477","424","444","444","516","555","459","465"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","150","642","666","616","723","648","744","783","684","705"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","200","897","882","841","942","915","948","1035","945","930"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","250","1116","1152","1084","1230","1131","1170","1245","1149","1131"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","500","2172","2367","2239","2286","2313","2322","2319","2262","2268"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","600","2619","2838","2650","2793","2808","2724","2745","2751","2682"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","750","3045","3120","3082","3102","3120","3120","3150","3102","3072"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","900","3156","3270","3232","3252","3270","3270","3300","3252","3222"
"Arma de Tiro Imperium","Aprendiz Arma III","3","Aprendiz (Tiro)","imperium","3","999","3231","3369","3331","3351","3369","3369","3399","3351","3321"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","1","0","0","1","0","1","1","44","0","0"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","5","2","2","6","6","5","5","50","2","3"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","10","7","10","14","15","10","14","56","10","11"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","25","32","35","38","37","30","36","81","35","30"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","50","70","80","82","78","71","72","115","69","72"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","100","140","159","142","148","143","158","200","153","155"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","150","214","222","206","241","211","234","276","228","235"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","200","299","294","281","314","300","302","360","315","310"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","250","372","384","362","410","372","376","430","383","377"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","500","724","789","747","762","766","760","788","754","756"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","600","873","946","884","931","931","894","930","917","894"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","750","1015","1040","1028","1034","1035","1026","1065","1034","1024"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","900","1052","1090","1078","1084","1085","1076","1115","1084","1074"
"Arma de Tiro Rudimentum","Aprendiz Arma I","3","Aprendiz (Tiro)","rudimentum","1","999","1077","1123","1111","1117","1118","1109","1148","1117","1107"
"Arma de Tiro Veteranum","Aprendiz Arma II","3","Aprendiz (Tiro)","veteranum","2","1","0","0","1","0","9","45","65","0","0"
