"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","1","0","92","1","0","0","0","33","59","2"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","5","8","100","21","24","16","16","57","67","14"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","10","28","132","53","60","36","52","81","99","46"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","25","128","232","149","148","116","140","181","199","122"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","50","280","412","325","312","280","284","317","335","290"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","100","560","728","565","592","568","628","657","671","622"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","150","856","980","821","964","840","932","961","971","942"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","200","1196","1268","1121","1256","1196","1204","1297","1319","1242"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","250","1488","1628","1445","1640","1484","1500","1577","1591","1510"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","500","2896","3248","2985","3048","3060","3036","3009","3075","3026"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","600","3492","3876","3533","3724","3720","3572","3577","3727","3578"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","750","4060","4252","4109","4136","4136","4100","4117","4195","4098"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","900","4208","4452","4309","4336","4336","4300","4317","4395","4298"
"Anillo de Augur Omen","Arcano Anillo I","8","Arcano (Augur)","omen","4","999","4308","4584","4441","4468","4468","4432","4449","4527","4430"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","1","0","295","1","0","0","1","55","88","2"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","5","12","307","31","36","24","25","91","100","20"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","10","42","355","79","90","54","79","127","148","68"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","25","192","505","223","222","174","211","277","298","182"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","50","420","775","487","468","420","427","481","502","434"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","100","840","1249","847","888","852","943","991","1006","932"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","150","1284","1627","1231","1446","1260","1399","1447","1456","1412"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","200","1794","2059","1681","1884","1794","1807","1951","1978","1862"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","250","2232","2599","2167","2460","2226","2251","2371","2386","2264"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","500","4344","5029","4477","4572","4590","4555","4519","4612","4538"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","600","5238","5971","5299","5586","5580","5359","5371","5590","5366"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","750","6090","6535","6163","6204","6204","6151","6181","6292","6146"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","900","6312","6835","6463","6504","6504","6451","6481","6592","6446"
"Anillo de Augur Oraculum","Arcano Anillo III","8","Arcano (Augur)","oraculum","6","999","6462","7033","6661","6702","6702","6649","6679","6790","6644"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","1","0","194","1","0","0","1","44","59","2"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","5","10","204","26","30","20","21","74","69","17"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","10","35","244","66","75","45","66","104","109","57"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","25","160","369","186","185","145","176","229","234","152"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","50","350","594","406","390","350","356","399","404","362"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","100","700","989","706","740","710","786","824","824","777"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","150","1070","1304","1026","1205","1050","1166","1204","1199","1177"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","200","1495","1664","1401","1570","1495","1506","1624","1634","1552"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","250","1860","2114","1806","2050","1855","1876","1974","1974","1887"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","500","3620","4139","3731","3810","3825","3796","3764","3829","3782"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","600","4365","4924","4416","4655","4650","4466","4474","4644","4472"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","750","5075","5394","5136","5170","5170","5126","5149","5229","5122"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","900","5260","5644","5386","5420","5420","5376","5399","5479","5372"
"Anillo de Augur Ritus","Arcano Anillo II","8","Arcano (Augur)","ritus","5","999","5385","5809","5551","5585","5585","5541","5564","5644","5537"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","1","0","0","1","0","26","45","108","0","0"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","5","8","8","21","24","42","61","132","8","12"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","10","28","40","53","60","62","97","156","40","44"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","25","128","140","149","148","142","185","256","140","120"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","50","280","320","325","312","306","329","392","276","288"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","100","560","636","565","592","594","673","732","612","620"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","150","856","888","821","964","866","977","1036","912","940"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","200","1196","1176","1121","1256","1222","1249","1372","1260","1240"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","250","1488","1536","1445","1640","1510","1545","1652","1532","1508"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","500","2896","3156","2985","3048","3086","3081","3084","3016","3024"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","600","3492","3784","3533","3724","3746","3617","3652","3668","3576"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","750","4060","4160","4109","4136","4162","4145","4192","4136","4096"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","900","4208","4360","4309","4336","4362","4345","4392","4336","4296"
"Arma de Augur Omen","Arcano Arma I","3","Arcano (Augur)","omen","4","999","4308","4492","4441","4468","4494","4477","4524","4468","4428"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","1","0","0","1","0","43","134","151","0","0"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","5","12","12","31","36","67","158","187","12","18"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","10","42","60","79","90","97","212","223","60","66"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","25","192","210","223","222","217","344","373","210","180"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","50","420","480","487","468","463","560","577","414","432"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","100","840","954","847","888","895","1076","1087","918","930"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","150","1284","1332","1231","1446","1303","1532","1543","1368","1410"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","200","1794","1764","1681","1884","1837","1940","2047","1890","1860"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","250","2232","2304","2167","2460","2269","2384","2467","2298","2262"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","500","4344","4734","4477","4572","4633","4688","4615","4524","4536"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","600","5238","5676","5299","5586","5623","5492","5467","5502","5364"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","750","6090","6240","6163","6204","6247","6284","6277","6204","6144"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","900","6312","6540","6463","6504","6547","6584","6577","6504","6444"
"Arma de Augur Oraculum","Arcano Arma III","3","Arcano (Augur)","oraculum","6","999","6462","6738","6661","6702","6745","6782","6775","6702","6642"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","1","0","0","1","0","34","90","130","0","0"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","5","10","10","26","30","54","110","160","10","15"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","10","35","50","66","75","79","155","190","50","55"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","25","160","175","186","185","179","265","315","175","150"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","50","350","400","406","390","384","445","485","345","360"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","100","700","795","706","740","744","875","910","765","775"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","150","1070","1110","1026","1205","1084","1255","1290","1140","1175"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","200","1495","1470","1401","1570","1529","1595","1710","1575","1550"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","250","1860","1920","1806","2050","1889","1965","2060","1915","1885"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","500","3620","3945","3731","3810","3859","3885","3850","3770","3780"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","600","4365","4730","4416","4655","4684","4555","4560","4585","4470"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","750","5075","5200","5136","5170","5204","5215","5235","5170","5120"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","900","5260","5450","5386","5420","5454","5465","5485","5420","5370"
"Arma de Augur Ritus","Arcano Arma II","3","Arcano (Augur)","ritus","5","999","5385","5615","5551","5585","5619","5630","5650","5585","5535"
