"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","1","0","0","1","0","51","134","173","0","0"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","5","14","14","36","42","79","162","215","14","21"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","10","49","70","92","105","114","225","257","70","77"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","25","224","245","260","259","254","379","432","245","210"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","50","490","560","568","546","541","631","670","483","504"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","100","980","1113","988","1036","1045","1233","1265","1071","1085"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","150","1498","1554","1436","1687","1521","1765","1797","1596","1645"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","200","2093","2058","1961","2198","2144","2241","2385","2205","2170"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","250","2604","2688","2528","2870","2648","2759","2875","2681","2639"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","500","5068","5523","5223","5334","5406","5447","5381","5278","5292"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","600","6111","6622","6182","6517","6561","6385","6375","6419","6258"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","750","7105","7280","7190","7238","7289","7309","7320","7238","7168"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","900","7364","7630","7540","7588","7639","7659","7670","7588","7518"
"Arma de Explorator Peregrinus","Cazador Arma I","3","Cazador (Explorator)","peregrinus","7","999","7539","7861","7771","7819","7870","7890","7901","7819","7749"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","1","0","0","2","0","68","178","216","0","0"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","5","18","18","47","54","104","214","270","18","27"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","10","63","90","119","135","149","295","324","90","99"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","25","288","315","335","333","329","493","549","315","270"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","50","630","720","731","702","698","817","855","621","648"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","100","1260","1431","1271","1332","1346","1591","1620","1377","1395"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","150","1926","1998","1847","2169","1958","2275","2304","2052","2115"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","200","2691","2646","2522","2826","2759","2887","3060","2835","2790"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","250","3348","3456","3251","3690","3407","3553","3690","3447","3393"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","500","6516","7101","6716","6858","6953","7009","6912","6786","6804"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","600","7857","8514","7949","8379","8438","8215","8190","8253","8046"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","750","9135","9360","9245","9306","9374","9403","9405","9306","9216"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","900","9468","9810","9695","9756","9824","9853","9855","9756","9666"
"Arma de Explorator Praedator","Cazador Arma III","3","Cazador (Explorator)","praedator","9","999","9693","10107","9992","10053","10121","10150","10152","10053","9963"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","1","0","0","1","0","59","134","194","0","0"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","5","16","16","41","48","91","166","242","16","24"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","10","56","80","105","120","131","238","290","80","88"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","25","256","280","297","296","291","414","490","280","240"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","50","560","640","649","624","619","702","762","552","576"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","100","1120","1272","1129","1184","1195","1390","1442","1224","1240"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","150","1712","1776","1641","1928","1739","1998","2050","1824","1880"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","200","2392","2352","2241","2512","2451","2542","2722","2520","2480"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","250","2976","3072","2889","3280","3027","3134","3282","3064","3016"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","500","5792","6312","5969","6096","6179","6206","6146","6032","6048"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","600","6984","7568","7065","7448","7499","7278","7282","7336","7152"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","750","8120","8320","8217","8272","8331","8334","8362","8272","8192"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","900","8416","8720","8617","8672","8731","8734","8762","8672","8592"
"Arma de Explorator Venator","Cazador Arma II","3","Cazador (Explorator)","venator","8","999","8616","8984","8881","8936","8995","8998","9026","8936","8856"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","1","1","0","0","1","0","0","0","0","0"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","5","15","14","35","43","28","28","42","14","21"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","10","50","70","91","106","63","91","84","70","77"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","25","225","245","259","260","203","245","259","245","210"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","50","491","560","567","547","490","497","497","483","504"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","100","981","1113","987","1037","994","1099","1092","1071","1085"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","150","1499","1554","1435","1688","1470","1631","1624","1596","1645"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","200","2094","2058","1960","2199","2093","2107","2212","2205","2170"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","250","2605","2688","2527","2871","2597","2625","2702","2681","2639"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","500","5069","5523","5222","5335","5355","5313","5208","5278","5292"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","600","6112","6622","6181","6518","6510","6251","6202","6419","6258"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","750","7106","7280","7189","7239","7238","7175","7147","7238","7168"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","900","7365","7630","7539","7589","7588","7525","7497","7588","7518"
"Armadura de Explorator Peregrinus","Cazador Armadura I","4","Cazador (Explorator)","peregrinus","7","999","7540","7861","7770","7820","7819","7756","7728","7819","7749"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","1","1","0","0","1","0","0","0","0","0"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","5","19","18","45","55","36","36","54","18","27"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","10","64","90","117","136","81","117","108","90","99"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","25","289","315","333","334","261","315","333","315","270"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","50","631","720","729","703","630","639","639","621","648"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","100","1261","1431","1269","1333","1278","1413","1404","1377","1395"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","150","1927","1998","1845","2170","1890","2097","2088","2052","2115"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","200","2692","2646","2520","2827","2691","2709","2844","2835","2790"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","250","3349","3456","3249","3691","3339","3375","3474","3447","3393"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","500","6517","7101","6714","6859","6885","6831","6696","6786","6804"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","600","7858","8514","7947","8380","8370","8037","7974","8253","8046"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","750","9136","9360","9243","9307","9306","9225","9189","9306","9216"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","900","9469","9810","9693","9757","9756","9675","9639","9756","9666"
"Armadura de Explorator Praedator","Cazador Armadura III","4","Cazador (Explorator)","praedator","9","999","9694","10107","9990","10054","10053","9972","9936","10053","9963"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","1","1","0","0","1","0","0","0","0","0"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","5","17","16","40","49","32","32","48","16","24"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","10","57","80","104","121","72","104","96","80","88"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","25","257","280","296","297","232","280","296","280","240"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","50","561","640","648","625","560","568","568","552","576"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","100","1121","1272","1128","1185","1136","1256","1248","1224","1240"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","150","1713","1776","1640","1929","1680","1864","1856","1824","1880"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","200","2393","2352","2240","2513","2392","2408","2528","2520","2480"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","250","2977","3072","2888","3281","2968","3000","3088","3064","3016"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","500","5793","6312","5968","6097","6120","6072","5952","6032","6048"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","600","6985","7568","7064","7449","7440","7144","7088","7336","7152"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","750","8121","8320","8216","8273","8272","8200","8168","8272","8192"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","900","8417","8720","8616","8673","8672","8600","8568","8672","8592"
"Armadura de Explorator Venator","Cazador Armadura II","4","Cazador (Explorator)","venator","8","999","8617","8984","8880","8937","8936","8864","8832","8936","8856"
"Botas de Explorator Peregrinus","Cazador Botas I","9","Cazador (Explorator)","peregrinus","7","1","1","0","0","1","97","0","0","0","3"
"Botas de Explorator Peregrinus","Cazador Botas I","9","Cazador (Explorator)","peregrinus","7","5","15","14","35","43","125","28","42","14","24"
"Botas de Explorator Peregrinus","Cazador Botas I","9","Cazador (Explorator)","peregrinus","7","10","50","70","91","106","160","91","84","70","80"
"Botas de Explorator Peregrinus","Cazador Botas I","9","Cazador (Explorator)","peregrinus","7","25","225","245","259","260","300","245","259","245","213"
"Botas de Explorator Peregrinus","Cazador Botas I","9","Cazador (Explorator)","peregrinus","7","50","491","560","567","547","587","497","497","483","507"
"Botas de Explorator Peregrinus","Cazador Botas I","9","Cazador (Explorator)","peregrinus","7","100","981","1113","987","1037","1091","1099","1092","1071","1088"
