"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","1","0","47","2","0","0","1","108","174","6"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","5","22","69","57","66","44","45","174","196","39"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","10","77","157","145","165","99","144","240","284","127"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","25","352","432","409","407","319","386","515","559","336"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","50","770","927","893","858","770","782","889","933","798"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","100","1540","1796","1553","1628","1562","1728","1824","1857","1711"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","150","2354","2489","2257","2651","2310","2564","2660","2682","2591"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","200","3289","3281","3082","3454","3289","3312","3584","3639","3416"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","250","4092","4271","3973","4510","4081","4126","4354","4387","4153"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","500","7964","8726","8208","8382","8415","8350","8292","8468","8322"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","600","9603","10453","9715","10241","10230","9824","9854","10261","9840"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","750","11165","11487","11299","11374","11374","11276","11339","11548","11270"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","900","11572","12037","11849","11924","11924","11826","11889","12098","11820"
"Anillo de Legionarius Centuria","Conquistador Anillo II","8","Conquistador (Legionarius)","centuria","11","999","11847","12400","12212","12287","12287","12189","12252","12461","12183"
"Anillo de Legionarius Cohors","Conquistador Anillo I","8","Conquistador (Legionarius)","cohors","10","1","0","19","1","0","0","1","98","146","5"
"Anillo de Legionarius Cohors","Conquistador Anillo I","8","Conquistador (Legionarius)","cohors","10","5","20","39","51","60","40","41","158","166","35"
"Anillo de Legionarius Cohors","Conquistador Anillo I","8","Conquistador (Legionarius)","cohors","10","10","70","119","131","150","90","131","218","246","115"
"Anillo de Legionarius Cohors","Conquistador Anillo I","8","Conquistador (Legionarius)","cohors","10","25","320","369","371","370","290","351","468","496","305"
"Anillo de Legionarius Cohors","Conquistador Anillo I","8","Conquistador (Legionarius)","cohors","10","50","700","819","811","780","700","711","808","836","725"
"Anillo de Legionarius Cohors","Conquistador Anillo I","8","Conquistador (Legionarius)","cohors","10","100","1400","1609","1411","1480","1420","1571","1658","1676","1555"
