"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","1","0","160","7","0","0","45","183","290","26"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","5","36","196","97","108","72","117","291","326","80"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","10","126","340","241","270","162","279","399","470","224"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","25","576","790","673","666","522","675","849","920","566"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","50","1260","1600","1465","1404","1260","1323","1461","1532","1322"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","100","2520","3022","2545","2664","2556","2871","2991","3044","2816"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","150","3852","4156","3697","4338","3780","4239","4359","4394","4256"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","200","5382","5452","5047","5652","5382","5463","5871","5960","5606"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","250","6696","7072","6505","7380","6678","6795","7131","7184","6812"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","500","13032","14362","13435","13716","13770","13707","13575","13862","13634"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","600","15714","17188","15901","16758","16740","16119","16131","16796","16118"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","750","18270","18880","18493","18612","18612","18495","18561","18902","18458"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","900","18936","19780","19393","19512","19512","19395","19461","19802","19358"
"Anillo de Speculator Occultus","Fantasma Anillo III","8","Fantasma (Speculator)","occultus","18","999","19386","20374","19987","20106","20106","19989","20055","20396","19952"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","1","0","104","6","0","0","45","173","261","21"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","5","34","138","91","102","68","113","275","295","72"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","10","119","274","227","255","153","266","377","431","208"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","25","544","699","635","629","493","640","802","856","531"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","50","1190","1464","1383","1326","1190","1252","1380","1434","1245"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","100","2380","2807","2403","2516","2414","2714","2825","2862","2656"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","150","3638","3878","3491","4097","3570","4006","4117","4137","4016"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","200","5083","5102","4766","5338","5083","5162","5545","5616","5291"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","250","6324","6632","6143","6970","6307","6420","6735","6772","6430"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","500","12308","13517","12688","12954","13005","12948","12821","13079","12873"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","600","14841","16186","15017","15827","15810","15226","15235","15850","15219"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","750","17255","17784","17465","17578","17578","17470","17530","17839","17429"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","900","17884","18634","18315","18428","18428","18320","18380","18689","18279"
"Anillo de Speculator Silentium","Fantasma Anillo II","8","Fantasma (Speculator)","silentium","17","999","18309","19195","18876","18989","18989","18881","18941","19250","18840"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","1","0","47","4","0","0","45","162","261","17"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","5","32","79","84","96","64","109","258","293","65"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","10","112","207","212","240","144","253","354","421","193"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","25","512","607","596","592","464","605","754","821","497"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","50","1120","1327","1300","1248","1120","1181","1298","1365","1169"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","100","2240","2591","2260","2368","2272","2557","2658","2709","2497"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","150","3424","3599","3284","3856","3360","3773","3874","3909","3777"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","200","4784","4751","4484","5024","4784","4861","5218","5301","4977"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","250","5952","6191","5780","6560","5936","6045","6338","6389","6049"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","500","11584","12671","11940","12192","12240","12189","12066","12325","12113"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","600","13968","15183","14132","14896","14880","14333","14338","14933","14321"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","750","16240","16687","16436","16544","16544","16445","16498","16805","16401"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","900","16832","17487","17236","17344","17344","17245","17298","17605","17201"
"Anillo de Speculator Umbra","Fantasma Anillo I","8","Fantasma (Speculator)","umbra","16","999","17232","18015","17764","17872","17872","17773","17826","18133","17729"
"Arma de Speculator Occultus","Fantasma Arma III","3","Fantasma (Speculator)","occultus","18","1","0","0","17","0","142","400","409","0","0"
