"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","1","0","118","3","0","0","45","151","232","13"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","5","30","148","78","90","60","105","241","262","58"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","10","105","268","198","225","135","240","331","382","178"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","25","480","643","558","555","435","570","706","757","463"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","50","1050","1318","1218","1170","1050","1110","1216","1267","1093"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","100","2100","2503","2118","2220","2130","2400","2491","2527","2338"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","150","3210","3448","3078","3615","3150","3540","3631","3652","3538"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","200","4485","4528","4203","4710","4485","4560","4891","4957","4663"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","250","5580","5878","5418","6150","5565","5670","5941","5977","5668"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","500","10860","11953","11193","11430","11475","11430","11311","11542","11353"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","600","13095","14308","13248","13965","13950","13440","13441","13987","13423"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","750","15225","15718","15408","15510","15510","15420","15466","15742","15373"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","900","15780","16468","16158","16260","16260","16170","16216","16492","16123"
"Anillo de Roma Gloria","Heroe Anillo III","8","H̩roe (Roma)","gloria","15","999","16155","16963","16653","16755","16755","16665","16711","16987","16618"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","1","0","76","3","0","0","45","140","232","11"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","5","28","104","73","84","56","101","224","260","53"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","10","98","216","185","210","126","227","308","372","165"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","25","448","566","521","518","406","535","658","722","431"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","50","980","1196","1137","1092","980","1039","1134","1198","1019"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","100","1960","2302","1977","2072","1988","2243","2324","2374","2181"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","150","2996","3184","2873","3374","2940","3307","3388","3424","3301"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","200","4186","4192","3923","4396","4186","4259","4564","4642","4351"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","250","5208","5452","5057","5740","5194","5295","5544","5594","5289"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","500","10136","11122","10447","10668","10710","10671","10556","10788","10595"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","600","12222","13320","12365","13034","13020","12547","12544","13070","12527"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","750","14210","14636","14381","14476","14476","14395","14434","14708","14347"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","900","14728","15336","15081","15176","15176","15095","15134","15408","15047"
"Anillo de Roma Honor","Heroe Anillo II","8","H̩roe (Roma)","honor","14","999","15078","15798","15543","15638","15638","15557","15596","15870","15509"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","1","0","33","2","0","0","1","130","203","9"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","5","26","59","67","78","52","53","208","229","48"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","10","91","163","171","195","117","170","286","333","152"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","25","416","488","483","481","377","456","611","658","399"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","50","910","1073","1055","1014","910","924","1053","1100","945"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","100","1820","2100","1835","1924","1846","2042","2158","2192","2024"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","150","2782","2919","2667","3133","2730","3030","3146","3167","3064"
"Anillo de Roma Virtus","Heroe Anillo I","8","H̩roe (Roma)","virtus","13","200","3887","3855","3642","4082","3887","3914","4238","4298","4039"
