"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","1","0","441","43","0","0","45","237","377","84"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","5","46","487","158","138","92","137","375","423","153"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","10","161","671","342","345","207","344","513","607","337"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","25","736","1246","894","851","667","850","1088","1182","774"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","50","1610","2281","1906","1794","1610","1678","1870","1964","1740"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","100","3220","4098","3286","3404","3266","3656","3825","3896","3649"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","150","4922","5547","4758","5543","4830","5404","5573","5621","5489"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","200","6877","7203","6483","7222","6877","6968","7505","7622","7214"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","250","8556","9273","8346","9430","8533","8670","9115","9186","8755"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","500","16652","18588","17201","17526","17595","17502","17349","17719","17472"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","600","20079","22199","20352","21413","21390","20584","20615","21468","20646"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","750","23345","24361","23664","23782","23782","23620","23720","24159","23636"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","900","24196","25511","24814","24932","24932","24770","24870","25309","24786"
"Anillo de Pontifex Divinus","Serafin Anillo II","8","SerafÃ­n (Pontifex)","divinus","23","999","24771","26270","25573","25691","25691","25529","25629","26068","25545"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","1","0","216","29","0","0","45","226","377","67"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","5","44","260","139","132","88","133","358","421","133"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","10","154","436","315","330","198","331","490","597","309"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","25","704","986","843","814","638","815","1040","1147","727"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","50","1540","1976","1811","1716","1540","1607","1788","1895","1651"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","100","3080","3714","3131","3256","3124","3499","3658","3743","3477"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","150","4708","5100","4539","5302","4620","5171","5330","5393","5237"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","200","6578","6684","6189","6908","6578","6667","7178","7307","6887"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","250","8184","8664","7971","9020","8162","8295","8718","8803","8361"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","500","15928","17574","16441","16764","16830","16743","16594","16965","16699"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","600","19206","21028","19455","20482","20460","19691","19718","20551","19735"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","750","22330","23096","22623","22748","22748","22595","22688","23125","22595"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","900","23144","24196","23723","23848","23848","23695","23788","24225","23695"
"Anillo de Pontifex Sacrum","Serafin Anillo I","8","SerafÃ­n (Pontifex)","sacrum","22","999","23694","24922","24449","24574","24574","24421","24514","24951","24421"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","1","0","666","56","0","0","45","248","406","100"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","5","48","714","176","144","96","141","392","454","172"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","10","168","906","368","360","216","357","536","646","364"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","25","768","1506","944","888","696","885","1136","1246","820"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","50","1680","2586","2000","1872","1680","1749","1952","2062","1828"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","100","3360","4482","3440","3552","3408","3813","3992","4078","3820"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","150","5136","5994","4976","5784","5040","5637","5816","5878","5740"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","200","7176","7722","6776","7536","7176","7269","7832","7966","7540"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","250","8928","9882","8720","9840","8904","9045","9512","9598","9148"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","500","17376","19602","17960","18288","18360","18261","18104","18502","18244"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","600","20952","23370","21248","22344","22320","21477","21512","22414","21556"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","750","24360","25626","24704","24816","24816","24645","24752","25222","24676"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","900","25248","26826","25904","26016","26016","25845","25952","26422","25876"
"Anillo de Pontifex Sanctus","Serafin Anillo III","8","SerafÃ­n (Pontifex)","sanctus","24","999","25848","27618","26696","26808","26808","26637","26744","27214","26668"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","1","0","0","112","0","184","489","516","0","0"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","5","46","46","227","138","276","581","654","46","69"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","10","161","230","411","345","391","788","792","230","253"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","25","736","805","963","851","851","1294","1367","805","690"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","50","1610","1840","1975","1794","1794","2122","2149","1587","1656"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","100","3220","3657","3355","3404","3450","4100","4104","3519","3565"
"Arma de Pontifex Divinus","Serafin Arma II","3","SerafÃ­n (Pontifex)","divinus","23","150","4922","5106","4827","5543","5014","5848","5852","5244","5405"
