"ItemName","AssetName","ItemType","Set","Tier","SetMultiplier","Level","hp","mana","ataque","defensa","velocidadAtaque","ataqueCritico","danoCritico","suerte","destreza"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","1","0","286","19","0","0","45","216","348","51"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","5","42","328","124","126","84","129","342","390","114"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","10","147","496","292","315","189","318","468","558","282"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","25","672","1021","796","777","609","780","993","1083","681"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","50","1470","1966","1720","1638","1470","1536","1707","1797","1563"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","100","2940","3625","2980","3108","2982","3342","3492","3561","3306"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","150","4494","4948","4324","5061","4410","4938","5088","5136","4986"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","200","6279","6460","5899","6594","6279","6366","6852","6963","6561"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","250","7812","8350","7600","8610","7791","7920","8322","8391","7968"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","500","15204","16855","15685","16002","16065","15984","15840","16182","15927"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","600","18333","20152","18562","19551","19530","18798","18822","19605","18825"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","750","21315","22126","21586","21714","21714","21570","21657","22062","21555"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","900","22092","23176","22636","22764","22764","22620","22707","23112","22605"
"Anillo de Colossus Colossus","Titan Anillo III","8","TitÃ¡n (Colossus)","colossus","21","999","22617","23869","23329","23457","23457","23313","23400","23805","23298"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","1","0","90","10","0","0","45","194","319","34"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","5","38","128","105","114","76","121","308","357","91"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","10","133","280","257","285","171","292","422","509","243"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","25","608","755","713","703","551","710","897","984","604"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","50","1330","1610","1549","1482","1330","1394","1543","1630","1402"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","100","2660","3111","2689","2812","2698","3028","3158","3226","2979"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","150","4066","4308","3905","4579","3990","4472","4602","4651","4499"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","200","5681","5676","5330","5966","5681","5764","6198","6304","5924"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","250","7068","7386","6869","7790","7049","7170","7528","7596","7197"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","500","13756","15081","14184","14478","14535","14466","14330","14645","14398"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","600","16587","18064","16787","17689","17670","17012","17028","17742","17020"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","750","19285","19850","19523","19646","19646","19520","19593","19965","19490"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","900","19988","20800","20473","20596","20596","20470","20543","20915","20440"
"Anillo de Colossus Moles","Titan Anillo I","8","TitÃ¡n (Colossus)","moles","19","999","20463","21427","21100","21223","21223","21097","21170","21542","21067"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","1","0","188","15","0","0","45","205","319","42"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","5","40","228","115","120","80","125","325","359","102"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","10","140","388","275","300","180","305","445","519","262"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","25","640","888","755","740","580","745","945","1019","642"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","50","1400","1788","1635","1560","1400","1465","1625","1699","1482"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","100","2800","3368","2835","2960","2840","3185","3325","3379","3142"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","150","4280","4628","4115","4820","4200","4705","4845","4879","4742"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","200","5980","6068","5615","6280","5980","6065","6525","6619","6242"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","250","7440","7868","7235","8200","7420","7545","7925","7979","7582"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","500","14480","15968","14935","15240","15300","15225","15085","15399","15162"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","600","17460","19108","17675","18620","18600","17905","17925","18659","17922"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","750","20300","20988","20555","20680","20680","20545","20625","20999","20522"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","900","21040","21988","21555","21680","21680","21545","21625","21999","21522"
"Anillo de Colossus Titanus","Titan Anillo II","8","TitÃ¡n (Colossus)","titanus","20","999","21540","22648","22215","22340","22340","22205","22285","22659","22182"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","1","0","0","50","0","167","444","473","0","0"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","5","42","42","155","126","251","528","599","42","63"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","10","147","210","323","315","356","717","725","210","231"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","25","672","735","827","777","776","1179","1250","735","630"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","50","1470","1680","1751","1638","1637","1935","1964","1449","1512"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","100","2940","3339","3011","3108","3149","3741","3749","3213","3255"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","150","4494","4662","4355","5061","4577","5337","5345","4788","4935"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","200","6279","6174","5930","6594","6446","6765","7109","6615","6510"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","250","7812","8064","7631","8610","7958","8319","8579","8043","7917"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","500","15204","16569","15716","16002","16232","16383","16097","15834","15876"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","600","18333","19866","18593","19551","19697","19197","19079","19257","18774"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","750","21315","21840","21617","21714","21881","21969","21914","21714","21504"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","900","22092","22890","22667","22764","22931","23019","22964","22764","22554"
"Arma de Colossus Colossus","Titan Arma III","3","TitÃ¡n (Colossus)","colossus","21","999","22617","23583","23360","23457","23624","23712","23657","23457","23247"
"Arma de Colossus Moles","Titan Arma I","3","TitÃ¡n (Colossus)","moles","19","1","0","0","26","0","151","400","430","0","0"
"Arma de Colossus Moles","Titan Arma I","3","TitÃ¡n (Colossus)","moles","19","5","38","38","121","114","227","476","544","38","57"
"Arma de Colossus Moles","Titan Arma I","3","TitÃ¡n (Colossus)","moles","19","10","133","190","273","285","322","647","658","190","209"
"Arma de Colossus Moles","Titan Arma I","3","TitÃ¡n (Colossus)","moles","19","25","608","665","729","703","702","1065","1133","665","570"
